Code	Title	Price
NHIA-181-015	NHIA-181-015 - h) Gamma-GT	1610.00
NHIA-181-016	NHIA-181-016 - Globulin	910.00
NHIA-181-017	NHIA-181-017 - Acid Phosphatase (Total & Prostatic) Each	1540.00
NHIA-181-018	NHIA-181-018 - Total Cholesterol	1190.00
NHIA-181-019	NHIA-181-019 - a) Total Cholesterol	1190.00
NHIA-181-020	NHIA-181-020 - b) Triglyceride	1190.00
NHIA-181-021	NHIA-181-021 - c) Low- Density Lipoprotein (LDL)	1190.00
NHIA-181-022	NHIA-181-022 - d) High -Density Lipoprotein (HDL)	1190.00
NHIA-181-023	NHIA-181-023 - Amylase	1050.00
NHIA-181-024	NHIA-181-024 - Fasting Blood Sugar (FBS)	700.00
NHIA-181-025	NHIA-181-025 - Random Blood Sugar (RBS)	700.00
NHIA-181-026	NHIA-181-026 - 2-Hr Post Prandial Blood Sugar	1120.00
NHIA-181-027	NHIA-181-027 - 24 HR- Urine Protein	1260.00
NHIA-181-028	NHIA-181-028 - Oral Glucose Tolerance Test (OGTT)	2520.00
NHIA-181-029	NHIA-181-029 - Uric Acid	840.00
NHIA-181-030	NHIA-181-030 - Iron	980.00
NHIA-181-031	NHIA-181-031 - Magnesium	980.00
NHIA-181-032	NHIA-181-032 - Creatine Phosphokinase (CPK)	1680.00
NHIA-181-033	NHIA-181-033 - Phosphate	742.00
NHIA-181-034	NHIA-181-034 - Lactate Dehydrogenase (LDH)	1148.00
NHIA-181-035	NHIA-181-035 - CSF: Chloride	742.00
NHIA-181-036	NHIA-181-036 - CSF: Protein (Total)	742.00
NHIA-181-037	NHIA-181-037 - CSF: Glucose	910.00
NHIA-181-038	NHIA-181-038 - Urinalysis	560.00
NHIA-181-039	NHIA-181-039 - Urea Clearance	1162.00
NHIA-181-040	NHIA-181-040 - Urease Breathe	2000.00
NHIA-181-041	NHIA-181-041 - Urea/Creatinine ratio	910.00
NHIA-181-042	NHIA-181-042 - Inorganic Phosphorus	840.00
NHIA-181-043	NHIA-181-043 - Creatinine Clearance	1260.00
NHIA-181-044	NHIA-181-044 - Glycosylated Haemoglobin (HBA1C)	1680.00
NHIA-181-045	NHIA-181-045 - a) Urine	560.00
NHIA-181-046	NHIA-181-046 - b) Blood	980.00
NHIA-181-047	NHIA-181-047 - Calcium	980.00
NHIA-181-048	NHIA-181-048 - Total Calcium	1000.00
NHIA-181-049	NHIA-181-049 - Ionised Calcium	1500.00
NHIA-181-050	NHIA-181-050 - Myoglobin	2000.00
NHIA-181-051	NHIA-181-051 - CK	1260.00
NHIA-181-052	NHIA-181-052 - CK-MB Mass	5390.00
NHIA-181-053	NHIA-181-053 - Troponin T.	7000.00
NHIA-181-054	NHIA-181-054 - Hormonal Assay (a –g)	18000.00
NHIA-181-055	NHIA-181-055 - a) Follicle Stimulating Hormone (FSH)	6580.00
NHIA-181-056	NHIA-181-056 - b) Luteinizing Hormone (LH)	6580.00
NHIA-181-057	NHIA-181-057 - c) Prolactin	6580.00
NHIA-181-058	NHIA-181-058 - d) Progesterone	6580.00
NHIA-181-059	NHIA-181-059 - e) Testosterone	6580.00
NHIA-181-060	NHIA-181-060 - f) Free Testosterone	6000.00
NHIA-181-061	NHIA-181-061 - g) Oestradiol (E2)	6580.00
NHIA-181-062	NHIA-181-062 - h) Oestriol (E3)	5500.00
NHIA-181-063	NHIA-181-063 - Oxytocin	6580.00
NHIA-181-064	NHIA-181-064 - Cortisol	6580.00
NHIA-181-065	NHIA-181-065 - Insulin	5390.00
NHIA-181-066	NHIA-181-066 - b-HCG	6000.00
NHIA-181-067	NHIA-181-067 - DHEA-Sulphate (17 ketosteroids)	6930.00
NHIA-181-068	NHIA-181-068 - AMH hormone (Anti Mullerian Hormone)	2000.00
NHIA-181-069	NHIA-181-069 - Thyroid Screening (a-f)	47530.00
NHIA-181-070	NHIA-181-070 - a) Triiodothyronine (T3)	6930.00
NHIA-181-071	NHIA-181-071 - b) Thyroid globulin	12880.00
NHIA-181-072	NHIA-181-072 - c) Free Triiodothyronine (T3)	6930.00
NHIA-181-073	NHIA-181-073 - d) Free Thyroxine (T4)	6930.00
NHIA-181-074	NHIA-181-074 - e) Thyroxine (T4)	6930.00
NHIA-181-075	NHIA-181-075 - f) Thyroid Stimulating Hormones (TSH)	6930.00
NHIA-181-077	NHIA-181-077 - Carcinoembryonic Antigen (CEA)	7000.00
NHIA-181-078	NHIA-181-078 - Breast Cancer Antigen/ CA 15-3	7350.00
NHIA-181-079	NHIA-181-079 - Ovarian Cancer Antigen /CA 125	7000.00
NHIA-181-080	NHIA-181-080 - Pancreatic/Gut Cancer Antigen / CA19-9	6930.00
NHIA-181-081	NHIA-181-081 - Alpha-Feto Protein (AFP)	5530.00
NHIA-181-082	NHIA-181-082 - Prostate Specific Antigen (PSA): (a - b)	6000.00
NHIA-181-083	NHIA-181-083 - a) Total	12950.00
NHIA-181-084	NHIA-181-084 - b) Free	7770.00
NHIA-181-085	NHIA-181-085 - Vanillyl Mandellic Acid (VMA)	4550.00
NHIA-182-001	NHIA-182-001 - Full Blood Count (FBC) (All Parameters)	3640.00
NHIA-182-002	NHIA-182-002 - Haemoglobin (HB)	840.00
NHIA-182-003	NHIA-182-003 - Packed Cell Volume (PCV)	840.00
NHIA-182-004	NHIA-182-004 - Erythrocyte Sedimentation Rate (ESR)	560.00
NHIA-182-005	NHIA-182-005 - Reticulocyte Count	600.00
NHIA-182-006	NHIA-182-006 - Bleeding Time	840.00
NHIA-182-007	NHIA-182-007 - Clotting Time	840.00
NHIA-182-008	NHIA-182-008 - Prothrombin Time (PT)	1680.00
NHIA-182-009	NHIA-182-009 - Kaolin-Cephalin Clotting Time	1988.00
NHIA-182-010	NHIA-182-010 - Prothrombin Time with Kaolin (PTTK)	2500.00
NHIA-182-011	NHIA-182-011 - Partial Prothrombin Time (PTT)	1680.00
NHIA-182-012	NHIA-182-012 - Partial Thromboplastin Time (PTT)	770.00
NHIA-182-013	NHIA-182-013 - HB Genotype	1190.00
NHIA-182-014	NHIA-182-014 - Blood Grouping (ABO & RH)	700.00
NHIA-182-015	NHIA-182-015 - Sickling Test	700.00
NHIA-182-016	NHIA-182-016 - Direct Coomb’s Test	840.00
NHIA-182-017	NHIA-182-017 - Indirect Coomb’s Test	1330.00
NHIA-182-018	NHIA-182-018 - Screening of Donor Blood	4956.00
NHIA-182-019	NHIA-182-019 - Cross Match	840.00
NHIA-182-020	NHIA-182-020 - Le Cells	1680.00
NHIA-182-021	NHIA-182-021 - G-6-PD Screening	3290.00
NHIA-182-022	NHIA-182-022 - Osmotic Fragility	1330.00
NHIA-182-023	NHIA-182-023 - Coagulation Profile	8330.00
NHIA-182-024	NHIA-182-024 - Bone Marrow Examination	7000.00
NHIA-182-025	NHIA-182-025 - Fibrinogen	5390.00
NHIA-182-026	NHIA-182-026 - Fresh Frozen plasma	6930.00
NHIA-182-027	NHIA-182-027 - Blood gas Analysis	8330.00
NHIA-182-028	NHIA-182-028 - D-Dimer	6930.00
NHIA-182-029	NHIA-182-029 - Ferritin	2590.00
NHIA-182-030	NHIA-182-030 - Homocysteine	7000.00
NHIA-182-031	NHIA-182-031 - Vitamin D	5390.00
NHIA-182-032	NHIA-182-032 - Vitamin B12	5390.00
NHIA-182-033	NHIA-182-033 - Folate	1330.00
NHIA-183-001	NHIA-183-001 - a) Microscopy	560.00
NHIA-183-002	NHIA-183-002 - b) Urinalysis	560.00
NHIA-183-003	NHIA-183-003 - c) Microscopy, Culture & Sensitivity	1400.00
NHIA-183-004	NHIA-183-004 - a) Microscopy R/E only	700.00
NHIA-183-005	NHIA-183-005 - b) Microscopy, Culture & Sensitivity	1400.00
NHIA-183-006	NHIA-183-006 - c) Faecal Occult Blood	910.00
NHIA-183-007	NHIA-183-007 - d) H. Pylori	2800.00
NHIA-183-008	NHIA-183-008 - H Pylori Ag	3000.00
NHIA-183-009	NHIA-183-009 - a) Culture & Sensitivity	2800.00
NHIA-183-010	NHIA-183-010 - b) Malaria Parasites	630.00
NHIA-183-011	NHIA-183-011 - c) Microfilaria	560.00
NHIA-183-012	NHIA-183-012 - d) Trypanosomes	700.00
NHIA-183-013	NHIA-183-013 - a) Semen Analysis	1750.00
NHIA-183-014	NHIA-183-014 - b) Microscopy, Culture & Sensitivity	1400.00
NHIA-183-015	NHIA-183-015 - a) Gram Stain	840.00
NHIA-183-016	NHIA-183-016 - b) Z.N stain for AFB x 3	1680.00
NHIA-183-017	NHIA-183-017 - c) Culture & Sensitivity	1400.00
NHIA-183-018	NHIA-183-018 - a) Cell Count + Microscopy	840.00
NHIA-183-019	NHIA-183-019 - c) Culture & Sensitivity	1400.00
